"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Inner Shelf Sea Pen Field",0.69,3.4
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sable Island Bank",2.39,12
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Canso Bank and Channels",2.26,11.3
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Misaine Bank and Laurentian Channel",0.9,4.5
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eastern Shoal",0.07,0.4
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Cold Seeps",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Fundian Channel-Browns Bank",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Logan Canyon",1.67,8.3
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","St. Anns Bank Marine Protected Area ",3.42,17.1
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Gully Marine Protected Area",0.88,4.4
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Pemsɨk",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Southern Bight",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Cobequid Bay",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Chignecto Bay",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","West Isles and Passages",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Chebogue",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","LaHave Islands",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sambro Ledges - Prospect",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Brier Island",0,0
